venue_name,venue_classification,use_at_games,current_status,games_year,host_city,reasoning,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_year_used,city_pop_year_gap,page_title,types,wikidata_id,wikidata_name,coords,capacity_wd,opened_year,opened_year_source
Panathenaic Stadium,Existing,"Athletics, artistic
gymnastics,
weightlifting",In use,1896,Athens,NA,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,Panathenaic Stadium,Olympic stadium; multi-purpose sports venue; pitch; all-seater stadium; monument; Ancient Greek stadium,http://www.wikidata.org/entity/Q208811,Panathenaic Stadium,NA,NA,NA,NA
Phaleron Bay,Existing,Rowing,In use,1896,Athens,NA,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,Phalerum,deme,http://www.wikidata.org/entity/Q534927,Phaleron,NA,NA,NA,NA
Bay of Zea,Existing,Swimming,In use,1896,Athens,NA,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,Bay of Zea,port,http://www.wikidata.org/entity/Q1133291,Zea harbor,NA,NA,NA,NA
Zappeion,Existing,Fencing,In use,1896,Athens,NA,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,Zappeion,convention center,http://www.wikidata.org/entity/Q147478,Zappeion,NA,NA,NA,NA
Athens Lawn Tennis Club,New build,Tennis,In use,1896,Athens,NA,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,Athens Lawn Tennis Club,sports club,http://www.wikidata.org/entity/Q1133297,Athens Lawn Tennis Club,NA,NA,NA,NA
Velodrome,New build,"Cycling (track), tennis",In use (rebuilt),1896,Athens,NA,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,Athens Olympic Velodrome,velodrome,http://www.wikidata.org/entity/Q1343754,Athens Olympic Velodrome,NA,NA,NA,NA
Kallithea stand,New build,Shooting,Not in use (demolished),1896,Athens,war - not a failure,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,2014–15 AEK Athens F.C. season,association football team season,http://www.wikidata.org/entity/Q16973387,2014–15 AEK Athens F.C. season,NA,NA,NA,NA
Athens-Marathon-Athens,Temporary,"Cycling (road),
marathon",Dismantled (temporary),1896,Athens,NA,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,Acropolis of Athens,acropolis; Ancient Greek archaeological site,http://www.wikidata.org/entity/Q131013,Acropolis of Athens,NA,NA,NA,NA
Croix-Catelan,Existing,"Athletics, tug of war",In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Racing Club de France Football,association football club,http://www.wikidata.org/entity/Q982889,Racing Club de France,NA,NA,NA,NA
Seine River,Existing,"Rowing, swimming, water
polo",In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Seine,river,http://www.wikidata.org/entity/Q1471,Seine,NA,NA,NA,NA
Courts de la Société des Sports de l’île de Puteaux / Cercle de Puteaux,Existing,Tennis,In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Léon de Janzé,human,http://www.wikidata.org/entity/Q75447429,Léon de Janzé,NA,NA,NA,NA
Vélodrome de Vincennes,Existing,"Cycling (track), football,
gymnastics, rugby, cricket,
archery",In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Vélodrome de Vincennes,stadium; velodrome; sports venue,http://www.wikidata.org/entity/Q420494,Vélodrome de Vincennes,NA,NA,NA,NA
Cercle de la Voile de Paris,Existing,Sailing,In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,List of yacht clubs that have competed for the America's Cup,Wikimedia list article,http://www.wikidata.org/entity/Q6645874,list of yacht clubs that have competed for the America's Cup,NA,NA,NA,NA
"Cercle du Bois de Boulogne, Pelouse de Madrid",Existing,Croquet,In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,NA,NA,NA,NA,NA,NA,NA,NA
"Pelouse de Bagatelle, Bois de Boulogne",Existing,Polo,In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,NA,NA,NA,NA,NA,NA,NA,NA
Fronton de Neuilly / Terrain de la Société du Jeu de pelote,Existing,Basque pelota,Not in use (demolished),1900,Paris,abandoned before demolition - this is the white elephant,France,1894,exact,FRA,NA,NA,7423.859,1975,81,NA,NA,NA,NA,NA,NA,NA,NA
Stand de l’île Séguin,Existing,Shooting,Not in use (demolished),1900,Paris,urban redevelopment - not a failure,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Bordeaux,commune of France; big city,http://www.wikidata.org/entity/Q1479,Bordeaux,NA,NA,NA,NA
