key_id,stadium_id,stadium_name,city_name,country_name,stadium_capacity,stadium_wikipedia_link,city_wikipedia_link,page_title,canonical_title,article_iri,wikidata_id,wikidata_name,coords,capacity_wd,opened_year,demolished_year,tenants
1,S-001,Estadio José Amalfitani,Buenos Aires,Argentina,49000,https://en.wikipedia.org/wiki/José_Amalfitani_Stadium,https://en.wikipedia.org/wiki/Buenos_Aires,José Amalfitani Stadium,José Amalfitani Stadium,https://en.wikipedia.org/wiki/Jos%C3%A9_Amalfitani_Stadium,http://www.wikidata.org/entity/Q1196603,José Amalfitani Stadium,Point(-58.520711 -34.635375),50000,1943,NA,Club Atlético Vélez Sarsfield; Argentina national rugby union team; Jaguares
2,S-002,Estadio Monumental,Buenos Aires,Argentina,75000,https://en.wikipedia.org/wiki/Estadio_Monumental_Antonio_Vespucio_Liberti,https://en.wikipedia.org/wiki/Buenos_Aires,Estadio Monumental Antonio Vespucio Liberti,Estadio Monumental (Buenos Aires),https://en.wikipedia.org/wiki/Estadio_Monumental_(Buenos_Aires),http://www.wikidata.org/entity/Q276354,Mas Monumental Stadium,Point(-58.449722222 -34.545277777),84567,1938,NA,Club Atlético River Plate; Argentina men's national football team; Club Atlético River Plate women; Q65484512
3,S-003,Estadio Chateau Carreras,Córdoba,Argentina,47000,https://en.wikipedia.org/wiki/Estadio_Mario_Alberto_Kempes,"https://en.wikipedia.org/wiki/Córdoba,_Argentina",Estadio Mario Alberto Kempes,Estadio Mario Alberto Kempes,https://en.wikipedia.org/wiki/Estadio_Mario_Alberto_Kempes,http://www.wikidata.org/entity/Q1062157,Mario Alberto Kempes Stadium,Point(-64.246244 -31.368956),60000,1978,NA,Talleres de Córdoba
4,S-004,Estadio José María Minella,Mar del Plata,Argentina,44000,https://en.wikipedia.org/wiki/Estadio_José_Mar%C3%ADa_Minella,https://en.wikipedia.org/wiki/Mar_del_Plata,Estadio José María Minella,Estadio José María Minella,https://en.wikipedia.org/wiki/Estadio_Jos%C3%A9_Mar%C3%ADa_Minella,http://www.wikidata.org/entity/Q1369282,José María Minella Stadium,Point(-57.582333 -38.017944),50180,1978,NA,Club Atlético Aldosivi; Alvarado
5,S-005,Estadio Ciudad de Mendoza,Mendoza,Argentina,35000,https://en.wikipedia.org/wiki/Estadio_Malvinas_Argentinas,"https://en.wikipedia.org/wiki/Mendoza,_Argentina",Estadio Malvinas Argentinas,Estadio Malvinas Argentinas,https://en.wikipedia.org/wiki/Estadio_Malvinas_Argentinas,http://www.wikidata.org/entity/Q1072265,Malvinas Argentinas Stadium,Point(-68.879994 -32.889564),42000,1978,NA,Argentina men's national football team; Godoy Cruz Antonio Tomba; San Martín de Mendoza; Argentina national rugby union team; Independiente Rivadavia; Huracán Las Heras
6,S-006,Estadio Gigante de Arroyito,Rosario,Argentina,46000,https://en.wikipedia.org/wiki/Estadio_Gigante_de_Arroyito,"https://en.wikipedia.org/wiki/Rosario,_Santa_Fe",Estadio Gigante de Arroyito,Estadio Gigante de Arroyito,https://en.wikipedia.org/wiki/Estadio_Gigante_de_Arroyito,http://www.wikidata.org/entity/Q713597,Gigante de Arroyito Stadium,Point(-60.674567 -32.913997),46000,1926,NA,Club Atlético Rosario Central; Rosario Central women
7,S-007,Estádio Independência,Belo Horizonte,Brazil,30000,https://en.wikipedia.org/wiki/Estádio_Independência,https://en.wikipedia.org/wiki/Belo_Horizonte,Estádio Independência,Estadio Independencia,https://en.wikipedia.org/wiki/Estadio_Independencia,http://www.wikidata.org/entity/Q8842808,Estadio Independencia,NA,NA,NA,NA,
8,S-008,Estádio Mineirão,Belo Horizonte,Brazil,43000,https://en.wikipedia.org/wiki/Mineirão,https://en.wikipedia.org/wiki/Belo_Horizonte,Mineirão,Mineirão,https://en.wikipedia.org/wiki/Mineir%C3%A3o,http://www.wikidata.org/entity/Q910370,Mineirão,Point(-43.970833 -19.865833),66658,1965,NA,Clube Atlético Mineiro
9,S-009,Estádio Nacional,Brasília,Brazil,70000,https://en.wikipedia.org/wiki/Estádio_Nacional_Mané_Garrincha,https://en.wikipedia.org/wiki/Bras%C3%ADlia,Estádio Nacional Mané Garrincha,Estádio Nacional Mané Garrincha,https://en.wikipedia.org/wiki/Est%C3%A1dio_Nacional_Man%C3%A9_Garrincha,http://www.wikidata.org/entity/Q336088,Estádio Nacional de Brasília,Point(-47.899164 -15.7835),69910,1974,NA,Brasília Futebol Clube; Legiaõ FC
10,S-010,Arena Pantanal,Cuiabá,Brazil,41000,https://en.wikipedia.org/wiki/Arena_Pantanal,https://en.wikipedia.org/wiki/Cuiabá,Arena Pantanal,Arena Pantanal,https://en.wikipedia.org/wiki/Arena_Pantanal,http://www.wikidata.org/entity/Q641448,Arena Pantaloneta,Point(-56.1216 -15.604),42968,2014,NA,Mixto Esporte Clube; Cuiabá Esporte Clube
11,S-011,Arena da Baixada,Curitiba,Brazil,40000,https://en.wikipedia.org/wiki/Arena_da_Baixada,https://en.wikipedia.org/wiki/Curitiba,Arena da Baixada,Arena da Baixada,https://en.wikipedia.org/wiki/Arena_da_Baixada,http://www.wikidata.org/entity/Q606803,Arena da Baixada,Point(-49.276944 -25.448333),28413,1914,NA,Club Athletico Paranaense; Club Athletico Paranaense women
12,S-012,Estádio Vila Capanema,Curitiba,Brazil,10000,https://en.wikipedia.org/wiki/Estádio_Vila_Capanema,https://en.wikipedia.org/wiki/Curitiba,Estádio Vila Capanema,Estádio Vila Capanema,https://en.wikipedia.org/wiki/Est%C3%A1dio_Vila_Capanema,http://www.wikidata.org/entity/Q1370663,Estádio Vila Capanema,Point(-49.255833 -25.439444),20000,1947,NA,Paraná Clube; Clube Atlético Ferroviário
13,S-013,Estádio Castelão,Fortaleza,Brazil,63000,https://en.wikipedia.org/wiki/Castelão_(Ceará),https://en.wikipedia.org/wiki/Fortaleza,Castelão (Ceará),Castelão (Fortaleza),https://en.wikipedia.org/wiki/Castel%C3%A3o_(Fortaleza),http://www.wikidata.org/entity/Q958185,Castelão,Point(-38.522481 -3.807267),57876,1973,NA,Fortaleza E.C.; Ceará Sporting Club
14,S-014,Arena da Amazônia,Manaus,Brazil,41000,https://en.wikipedia.org/wiki/Arena_da_Amazônia,https://en.wikipedia.org/wiki/Manaus,Arena da Amazônia,Arena da Amazônia,https://en.wikipedia.org/wiki/Arena_da_Amaz%C3%B4nia,http://www.wikidata.org/entity/Q641527,Arena Amazônia,Point(-60.028056 -3.083056),42924,2014,NA,Nacional Futebol Clube; América Futebol Clube
15,S-015,Arena das Dunas,Natal,Brazil,40000,https://en.wikipedia.org/wiki/Arena_das_Dunas,"https://en.wikipedia.org/wiki/Natal,_Rio_Grande_do_Norte",Arena das Dunas,Arena das Dunas,https://en.wikipedia.org/wiki/Arena_das_Dunas,http://www.wikidata.org/entity/Q1343986,Arena das Dunas,Point(-35.21236 -5.82681),45000,2014,NA,América Futebol Clube
16,S-016,Estádio Beira-Rio,Porto Alegre,Brazil,43000,https://en.wikipedia.org/wiki/Estádio_Beira-Rio,https://en.wikipedia.org/wiki/Porto_Alegre,Estádio Beira-Rio,Estádio Beira-Rio,https://en.wikipedia.org/wiki/Est%C3%A1dio_Beira-Rio,http://www.wikidata.org/entity/Q1050224,Estádio Beira-Rio,Point(-51.236086 -30.065614),49055,1969,NA,S.C. Internacional
