venue_name,venue_classification,use_at_games,current_status,games_year,host_city,reasoning,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_year_used,city_pop_year_gap,page_title,types,wikidata_id,wikidata_name,coords,capacity_wd,opened_year,opened_year_source,venue_age,years_since_event,years_since_construction,venue_lon,venue_lat,city_lon,city_lat,distance_mi
Panathenaic Stadium,Existing,"Athletics, artistic
gymnastics,
weightlifting",In use,1896,Athens,NA,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,Panathenaic Stadium,Olympic stadium; multi-purpose sports venue; pitch; all-seater stadium; monument; Ancient Greek stadium,http://www.wikidata.org/entity/Q208811,Panathenaic Stadium,NA,NA,NA,NA,NA,130,NA,NA,NA,23.7294821422573,37.9900827844442,NA
Phaleron Bay,Existing,Rowing,In use,1896,Athens,NA,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,Phalerum,deme,http://www.wikidata.org/entity/Q534927,Phaleron,NA,NA,NA,NA,NA,130,NA,NA,NA,23.7294821422573,37.9900827844442,NA
Bay of Zea,Existing,Swimming,In use,1896,Athens,NA,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,Bay of Zea,port,http://www.wikidata.org/entity/Q1133291,Zea harbor,NA,NA,NA,NA,NA,130,NA,NA,NA,23.7294821422573,37.9900827844442,NA
Zappeion,Existing,Fencing,In use,1896,Athens,NA,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,Zappeion,convention center,http://www.wikidata.org/entity/Q147478,Zappeion,NA,NA,NA,NA,NA,130,NA,NA,NA,23.7294821422573,37.9900827844442,NA
Athens Lawn Tennis Club,New build,Tennis,In use,1896,Athens,NA,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,Athens Lawn Tennis Club,sports club,http://www.wikidata.org/entity/Q1133297,Athens Lawn Tennis Club,NA,NA,NA,NA,NA,130,NA,NA,NA,23.7294821422573,37.9900827844442,NA
Velodrome,New build,"Cycling (track), tennis",In use (rebuilt),1896,Athens,NA,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,Athens Olympic Velodrome,velodrome,http://www.wikidata.org/entity/Q1343754,Athens Olympic Velodrome,NA,NA,NA,NA,NA,130,NA,NA,NA,23.7294821422573,37.9900827844442,NA
Kallithea stand,New build,Shooting,Not in use (demolished),1896,Athens,war - not a failure,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,2014–15 AEK Athens F.C. season,association football team season,http://www.wikidata.org/entity/Q16973387,2014–15 AEK Athens F.C. season,NA,NA,NA,NA,NA,130,NA,NA,NA,23.7294821422573,37.9900827844442,NA
Athens-Marathon-Athens,Temporary,"Cycling (road),
marathon",Dismantled (temporary),1896,Athens,NA,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81,Acropolis of Athens,acropolis; Ancient Greek archaeological site,http://www.wikidata.org/entity/Q131013,Acropolis of Athens,NA,NA,NA,NA,NA,130,NA,NA,NA,23.7294821422573,37.9900827844442,NA
Croix-Catelan,Existing,"Athletics, tug of war",In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Racing Club de France Football,association football club,http://www.wikidata.org/entity/Q982889,Racing Club de France,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA
Seine River,Existing,"Rowing, swimming, water
polo",In use,1900,Paris,NA,France,1894,exact,FRA,NA,NA,7423.859,1975,81,Seine,river,http://www.wikidata.org/entity/Q1471,Seine,NA,NA,NA,NA,NA,126,NA,NA,NA,2.35557109932262,48.8491114639848,NA
