venue_name,venue_classification,use_at_games,current_status,games_year,host_city,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_year_used,city_pop_year_gap
Panathenaic Stadium,Existing,"Athletics, artistic
gymnastics,
weightlifting",In use,1896,Athens,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81
Phaleron Bay,Existing,Rowing,In use,1896,Athens,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81
Bay of Zea,Existing,Swimming,In use,1896,Athens,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81
Zappeion,Existing,Fencing,In use,1896,Athens,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81
"Athens Lawn
Tennis Club",New build,Tennis,In use,1896,Athens,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81
Velodrome,New build,"Cycling (track), tennis",In use (rebuilt),1896,Athens,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81
Kallithea stand,New build,Shooting,Not in use (demolished),1896,Athens,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81
Athens-Marathon-Athens,Temporary,"Cycling (road),
marathon",Dismantled (temporary),1896,Athens,Greece,1894,exact,GRC,NA,NA,3002.974,1975,81
Croix-Catelan,Existing,"Athletics, tug of war",In use,1900,Paris,France,1894,exact,FRA,NA,NA,7423.859,1975,81
Seine River,Existing,"Rowing, swimming, water
polo",In use,1900,Paris,France,1894,exact,FRA,NA,NA,7423.859,1975,81
"Courts de la Société des
Sports de l’île de Puteaux /
Cercle de Puteaux",Existing,Tennis,In use,1900,Paris,France,1894,exact,FRA,NA,NA,7423.859,1975,81
Vélodrome de Vincennes,Existing,"Cycling (track), football,
gymnastics, rugby, cricket,
archery",In use,1900,Paris,France,1894,exact,FRA,NA,NA,7423.859,1975,81
Cercle de la Voile de Paris,Existing,Sailing,In use,1900,Paris,France,1894,exact,FRA,NA,NA,7423.859,1975,81
"Cercle du Bois de
Boulogne, Pelouse de
Madrid",Existing,Croquet,In use,1900,Paris,France,1894,exact,FRA,NA,NA,7423.859,1975,81
"Pelouse de Bagatelle, Bois
de Boulogne",Existing,Polo,In use,1900,Paris,France,1894,exact,FRA,NA,NA,7423.859,1975,81
"Fronton de Neuilly /
Terrain de la Société du
Jeu de pelote",Existing,Basque pelota,Not in use (demolished),1900,Paris,France,1894,exact,FRA,NA,NA,7423.859,1975,81
Stand de l’île Séguin,Existing,Shooting,Not in use (demolished),1900,Paris,France,1894,exact,FRA,NA,NA,7423.859,1975,81
"Terrain de la Société des
Sports de Compiègne",Existing,Golf,Not in use (demolished),1900,Paris,France,1894,exact,FRA,NA,NA,7423.859,1975,81
"Palais de la Société des
Régates du Havre",Existing,Sailing,Not in use (demolished),1900,Paris,France,1894,exact,FRA,NA,NA,7423.859,1975,81
Camp militaire de Satory,New build,Shooting,In use (repurposed),1900,Paris,France,1894,exact,FRA,NA,NA,7423.859,1975,81
Place de Breteuil,Temporary,Equestrian (jumping),Dismantled (temporary),1900,Paris,France,1894,exact,FRA,NA,NA,7423.859,1975,81
