venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,notes,wikipedia_link
S-001,S-001,Estadio José Amalfitani,Buenos Aires,Argentina,WC-1978,1978,1966,1943,49000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/José_Amalfitani_Stadium
S-002,S-002,Estadio Monumental,Buenos Aires,Argentina,WC-1978,1978,1966,1938,75000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Estadio_Monumental_Antonio_Vespucio_Liberti
S-003,S-003,Estadio Chateau Carreras,Córdoba,Argentina,WC-1978,1978,1966,1978,47000,Multi-purpose,New,in use,,,opened 1978 for the WC (1976 was construction),https://en.wikipedia.org/wiki/Estadio_Mario_Alberto_Kempes
S-004,S-004,Estadio José María Minella,Mar del Plata,Argentina,WC-1978,1978,1966,1978,44000,Multi-purpose,New,in use,,,,https://en.wikipedia.org/wiki/Estadio_José_Mar%C3%ADa_Minella
S-005,S-005,Estadio Ciudad de Mendoza,Mendoza,Argentina,WC-1978,1978,1966,1978,35000,Multi-purpose,New,in use,,,,https://en.wikipedia.org/wiki/Estadio_Malvinas_Argentinas
S-006,S-006,Estadio Gigante de Arroyito,Rosario,Argentina,WC-1978,1978,1966,1926,46000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Estadio_Gigante_de_Arroyito
S-007,S-007,Estádio Independência,Belo Horizonte,Brazil,WC-1950,1950,1946,1950,30000,Single-purpose,New,in use,,,"opened 1950 for the WC, rebuilt 2012, in use",https://en.wikipedia.org/wiki/Estádio_Independência
S-008,S-008,Estádio Mineirão,Belo Horizonte,Brazil,WC-2014,2014,2007,1965,43000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Mineirão
S-009,S-009,Estádio Nacional,Brasília,Brazil,WC-2014,2014,2007,2013,70000,Multi-purpose,New,in use,,,"old national stadium demolished, rebuilt 2010-13 for the WC",https://en.wikipedia.org/wiki/Estádio_Nacional_Mané_Garrincha
S-010,S-010,Arena Pantanal,Cuiabá,Brazil,WC-2014,2014,2007,2014,41000,Multi-purpose,New,in use,,,,https://en.wikipedia.org/wiki/Arena_Pantanal
S-011,S-011,Arena da Baixada,Curitiba,Brazil,WC-2014,2014,2007,1999,40000,Single-purpose,Existing,in use,,,"opened 1999; the 2012-14 works were a major expansion for the WC, not a teardown; Existing",https://en.wikipedia.org/wiki/Arena_da_Baixada
S-012,S-012,Estádio Vila Capanema,Curitiba,Brazil,WC-1950,1950,1946,1947,10000,Single-purpose,New,in use,,,"opened 1947, Brazil awarded 1946",https://en.wikipedia.org/wiki/Estádio_Vila_Capanema
S-013,S-013,Estádio Castelão,Fortaleza,Brazil,WC-2014,2014,2007,1973,63000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Castelão_(Ceará)
S-014,S-014,Arena da Amazônia,Manaus,Brazil,WC-2014,2014,2007,2014,41000,Single-purpose,New,in use,,,,https://en.wikipedia.org/wiki/Arena_da_Amazônia
S-015,S-015,Arena das Dunas,Natal,Brazil,WC-2014,2014,2007,2014,40000,Single-purpose,New,in use,,,,https://en.wikipedia.org/wiki/Arena_das_Dunas
S-016,S-016,Estádio Beira-Rio,Porto Alegre,Brazil,WC-2014,2014,2007,1969,43000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Estádio_Beira-Rio
S-017,S-017,Estádio dos Eucaliptos,Porto Alegre,Brazil,WC-1950,1950,1946,1931,20000,Single-purpose,Existing,not in use,demolished 2012,abandoned before demolition,,https://en.wikipedia.org/wiki/Estádio_dos_Eucaliptos
S-018,S-018,Arena Pernambuco,Recife,Brazil,WC-2014,2014,2007,2013,43000,Multi-purpose,New,in use,,,,https://en.wikipedia.org/wiki/Arena_Pernambuco
S-019,S-019,Estádio Ilha do Retiro,Recife,Brazil,WC-1950,1950,1946,1937,30000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Estádio_Ilha_do_Retiro
S-020,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,WC-1950,1950,1946,1950,200000,Single-purpose,New,in use,,,built for WC 1950,https://en.wikipedia.org/wiki/Maracanã_Stadium
S-020,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,WC-2014,2014,2007,1950,200000,Single-purpose,Existing,in use,,,"2010-13 gut renovation with the structure retained; Existing, matching the IOC report's own Rio 2016 classification of this stadium",https://en.wikipedia.org/wiki/Maracanã_Stadium
S-021,S-021,Arena Fonte Nova,Salvador,Brazil,WC-2014,2014,2007,2013,52000,Single-purpose,New,in use,,,"demolished 2010, rebuilt 2013 for the WC; football specific ground, so Single",https://en.wikipedia.org/wiki/Arena_Fonte_Nova
S-022,S-022,Arena Corinthians,São Paulo,Brazil,WC-2014,2014,2007,2014,63000,Single-purpose,New,in use,,,,https://en.wikipedia.org/wiki/Arena_Corinthians
S-023,S-023,Estádio do Pacaembu,São Paulo,Brazil,WC-1950,1950,1946,1940,60000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Pacaembu_Stadium
S-024,S-024,Commonwealth Stadium,Edmonton,Canada,WC-2015,2015,2011,1978,56000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Commonwealth_Stadium_(Edmonton)
S-025,S-025,Moncton Stadium,Moncton,Canada,WC-2015,2015,2011,2010,13000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Moncton_Stadium
