venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,wikipedia_link,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_pct_rank,city_pop_z,city_pop_year_used,city_pop_year_gap,venue_age,years_since_event,years_since_construction,coords,venue_lon,venue_lat,city_lon,city_lat,distance_mi
S-001,S-001,Estadio José Amalfitani,Buenos Aires,Argentina,WC-1978,1978,1966,1943,49000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/José_Amalfitani_Stadium,ARG,1275.07843418966,NA,8560.9,0.9984115778326862,11.326084573758711,1975,9,35,48,83,Point(-58.520711 -34.635375),-58.520711,-34.635375,-58.51281868345,-34.6507889984493,1.1569366484750598
S-002,S-002,Estadio Monumental,Buenos Aires,Argentina,WC-1978,1978,1966,1938,75000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Monumental_Antonio_Vespucio_Liberti,ARG,1275.07843418966,NA,8560.9,0.9984115778326862,11.326084573758711,1975,9,40,48,88,Point(-58.449722222 -34.545277777),-58.449722222,-34.545277777,-58.51281868345,-34.6507889984493,8.13462531775389
S-003,S-003,Estadio Chateau Carreras,Córdoba,Argentina,WC-1978,1978,1966,1978,47000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Mario_Alberto_Kempes,ARG,1275.07843418966,NA,843.131,0.957995058242146,0.8293721880780158,1975,9,0,48,48,Point(-64.246244 -31.368956),-64.246244,-31.368956,-64.2016138572961,-31.4016001921993,3.470462028672715
S-004,S-004,Estadio José María Minella,Mar del Plata,Argentina,WC-1978,1978,1966,1978,44000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_José_Mar%C3%ADa_Minella,ARG,1275.07843418966,NA,333.807,0.8886339569361101,0.13665547951567933,1975,9,0,48,48,Point(-57.582333 -38.017944),-57.582333,-38.017944,-57.572000247211,-38.0062521656552,0.985471660128378
S-005,S-005,Estadio Ciudad de Mendoza,Mendoza,Argentina,WC-1978,1978,1966,1978,35000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Malvinas_Argentinas,ARG,1275.07843418966,NA,467.728,0.9232262619131664,0.31879752333724803,1975,9,0,48,48,Point(-68.879994 -32.889564),-68.879994,-32.889564,-68.8291802240567,-32.9029480119876,3.0930486531492574
S-006,S-006,Estadio Gigante de Arroyito,Rosario,Argentina,WC-1978,1978,1966,1926,46000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Gigante_de_Arroyito,ARG,1275.07843418966,NA,704.516,0.9474055771267208,0.6408459718436184,1975,9,52,48,100,Point(-60.674567 -32.913997),-60.674567,-32.913997,-60.6742626551186,-32.9497163315922,2.4708013719934807
S-007,S-007,Estádio Independência,Belo Horizonte,Brazil,WC-1950,1950,1946,1950,30000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estádio_Independência,BRA,NA,NA,1292.068,0.9759971761383692,1.43995830024208,1975,29,0,76,76,NA,NA,NA,-43.9916716948718,-19.9006209955912,NA
S-008,S-008,Estádio Mineirão,Belo Horizonte,Brazil,WC-2014,2014,2007,1965,43000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Mineirão,BRA,7409.69130673473,NA,3715.23,0.991029023746702,3.0701639880335723,2007,0,49,12,61,Point(-43.970833 -19.865833),-43.970833,-19.865833,-43.9916716948718,-19.9006209955912,2.761838588527675
S-009,S-009,Estádio Nacional,Brasília,Brazil,WC-2014,2014,2007,2013,70000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estádio_Nacional_Mané_Garrincha,BRA,7409.69130673473,NA,1049.471,0.9584168865435356,0.6705572144776816,2007,0,1,12,13,Point(-47.899164 -15.7835),-47.899164,-15.7835,-48.0784602604988,-15.8343809865553,12.44117220978767
S-010,S-010,Arena Pantanal,Cuiabá,Brazil,WC-2014,2014,2007,2014,41000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Arena_Pantanal,BRA,7409.69130673473,NA,662.01,0.929604221635884,0.3217807346500832,2007,0,0,12,12,Point(-56.1216 -15.604),-56.1216,-15.604,-56.0911002803774,-15.6141298239977,2.149309623546323
