venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,wikipedia_link,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_pct_rank,city_pop_z,city_pop_year_used,city_pop_year_gap
S-001,S-001,Estadio José Amalfitani,Buenos Aires,Argentina,WC-1978,1978,1966,1943,49000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/José_Amalfitani_Stadium,ARG,1275.07843418966,NA,8560.9,0.9984115778326862,11.326084573758713,1975,9
S-002,S-002,Estadio Monumental,Buenos Aires,Argentina,WC-1978,1978,1966,1938,75000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Monumental_Antonio_Vespucio_Liberti,ARG,1275.07843418966,NA,8560.9,0.9984115778326862,11.326084573758713,1975,9
S-003,S-003,Estadio Chateau Carreras,Córdoba,Argentina,WC-1978,1978,1966,1978,47000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Mario_Alberto_Kempes,ARG,1275.07843418966,NA,843.131,0.9579950582421461,0.8293721880780158,1975,9
S-004,S-004,Estadio José María Minella,Mar del Plata,Argentina,WC-1978,1978,1966,1978,44000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_José_Mar%C3%ADa_Minella,ARG,1275.07843418966,NA,333.807,0.8886339569361101,0.13665547951567933,1975,9
S-005,S-005,Estadio Ciudad de Mendoza,Mendoza,Argentina,WC-1978,1978,1966,1978,35000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Malvinas_Argentinas,ARG,1275.07843418966,NA,467.728,0.9232262619131663,0.31879752333724803,1975,9
S-006,S-006,Estadio Gigante de Arroyito,Rosario,Argentina,WC-1978,1978,1966,1926,46000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Gigante_de_Arroyito,ARG,1275.07843418966,NA,704.516,0.9474055771267208,0.6408459718436184,1975,9
S-007,S-007,Estádio Independência,Belo Horizonte,Brazil,WC-1950,1950,1946,1950,30000,Single-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estádio_Independência,BRA,NA,NA,1292.068,0.9759971761383692,1.43995830024208,1975,29
S-008,S-008,Estádio Mineirão,Belo Horizonte,Brazil,WC-2014,2014,2007,1965,43000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Mineirão,BRA,7409.69130673473,NA,3715.23,0.9910290237467019,3.0701639880335723,2007,0
S-009,S-009,Estádio Nacional,Brasília,Brazil,WC-2014,2014,2007,2013,70000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estádio_Nacional_Mané_Garrincha,BRA,7409.69130673473,NA,1049.471,0.9584168865435356,0.6705572144776816,2007,0
S-010,S-010,Arena Pantanal,Cuiabá,Brazil,WC-2014,2014,2007,2014,41000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Arena_Pantanal,BRA,7409.69130673473,NA,662.01,0.9296042216358839,0.3217807346500832,2007,0
