model,threshold,sensitivity,specificity,precision,f1,balanced_accuracy,predicted_positive_n,predicted_positive_rate,true_positive,false_positive,true_negative,false_negative
Penalized logistic regression,0.005,1,0,0.030303030303030304,0.05882352941176471,0.5,5610,1,170,5440,0,0
Penalized logistic regression,0.01,1,0,0.030303030303030304,0.05882352941176471,0.5,5610,1,170,5440,0,0
Penalized logistic regression,0.015,1,0,0.030303030303030304,0.05882352941176471,0.5,5610,1,170,5440,0,0
Penalized logistic regression,0.02,1,0,0.030303030303030304,0.05882352941176471,0.5,5610,1,170,5440,0,0
Penalized logistic regression,0.025,0.8294117647058824,0.062316176470588236,0.026898130484547884,0.05210643015521064,0.44586397058823535,5242,0.9344028520499109,141,5101,339,29
Penalized logistic regression,0.030000000000000002,0.4294117647058823,0.2998161764705882,0.01880473982483256,0.03603158933859822,0.3646139705882353,3882,0.6919786096256685,73,3809,1631,97
Penalized logistic regression,0.034999999999999996,0.11176470588235295,0.7220588235294118,0.012410189418680601,0.022339800117577895,0.41691176470588237,1531,0.2729055258467023,19,1512,3928,151
Penalized logistic regression,0.04,0.041176470588235294,0.8790441176470588,0.010526315789473684,0.016766467065868262,0.46011029411764703,665,0.11853832442067737,7,658,4782,163
Penalized logistic regression,0.045,0,1,NA,NA,0.5,0,0,0,0,5440,170
Penalized logistic regression,0.049999999999999996,0,1,NA,NA,0.5,0,0,0,0,5440,170
Penalized logistic regression,0.055,0,1,NA,NA,0.5,0,0,0,0,5440,170
Penalized logistic regression,0.06,0,1,NA,NA,0.5,0,0,0,0,5440,170
Penalized logistic regression,0.065,0,1,NA,NA,0.5,0,0,0,0,5440,170
Penalized logistic regression,0.07,0,1,NA,NA,0.5,0,0,0,0,5440,170
Penalized logistic regression,0.07500000000000001,0,1,NA,NA,0.5,0,0,0,0,5440,170
Penalized logistic regression,0.08,0,1,NA,NA,0.5,0,0,0,0,5440,170
Penalized logistic regression,0.085,0,1,NA,NA,0.5,0,0,0,0,5440,170
Penalized logistic regression,0.09000000000000001,0,1,NA,NA,0.5,0,0,0,0,5440,170
Penalized logistic regression,0.095,0,1,NA,NA,0.5,0,0,0,0,5440,170
Penalized logistic regression,0.1,0,1,NA,NA,0.5,0,0,0,0,5440,170
Penalized logistic regression,0.125,0,1,NA,NA,0.5,0,0,0,0,5440,170
Penalized logistic regression,0.15,0,1,NA,NA,0.5,0,0,0,0,5440,170
Penalized logistic regression,0.2,0,1,NA,NA,0.5,0,0,0,0,5440,170
Penalized logistic regression,0.25,0,1,NA,NA,0.5,0,0,0,0,5440,170
